Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2022-03-28,The Hand of God,2021,https://boxd.it/2HCM6l,3,,Italian Timothée Chalamet does not disappoint,,2022-03-27
2022-03-30,The Lost City,2022,https://boxd.it/2HZT1j,2,,This movie could have been solved by an email,saw in theatres,2022-03-29
2022-03-31,Girl 27,2007,https://boxd.it/2Idaxd,3.5,,Required viewing for anyone who works in film,,2022-03-31
2022-04-01,Morbius,2022,https://boxd.it/2IlnXp,1,,Morbius wins by *checks notes* batbending?,saw in theatres,2022-03-31
2022-04-05,Everything Everywhere All at Once,2022,https://boxd.it/2J5z23,4,,There’s a multiverse where this movie is garbage,saw in theatres,2022-04-04
2022-04-07,Sonic the Hedgehog,2020,https://boxd.it/2JtcPp,2.5,,Gotta reanimate fast!,,2022-04-07
2022-04-08,Sonic the Hedgehog 2,2022,https://boxd.it/2Jzvbv,2.5,,Just skip every scene in Hawaii and it's good,saw in theatres,2022-04-07
2022-04-09,Dave Made a Maze,2017,https://boxd.it/2JOcXF,3.5,,I'm just glad the production designers had fun,,2022-04-12
2022-04-11,Ambulance,2022,https://boxd.it/2KbnN3,2.5,,Micheal Bay and his Drone Camera: A love story,saw in theatres,2022-04-11
2022-04-12,The Adam Project,2022,https://boxd.it/2KnywL,2.5,,Let the kid swear,,2022-04-12
2022-04-14,The Fairly OddParents: Wishology,2009,https://boxd.it/2KCkDj,1.5,,Timmy chooses not to make his loved ones lives better,,2022-04-13
2022-04-18,Phineas and Ferb: The Movie: Candace Against the Universe,2020,https://boxd.it/2LpuwP,2.5,,Wasn’t this the same plot as a season one episode,,2022-04-17
2022-04-20,Everything Everywhere All at Once,2022,https://boxd.it/2LP5kh,4.5,Yes,Required second viewing this movie is so good,saw in theatres,2022-04-19
2022-04-22,The Unbearable Weight of Massive Talent,2022,https://boxd.it/2M84pX,3,,So like was this an adaptation reference or,saw in theatres,2022-04-21
2022-04-23,The Northman,2022,https://boxd.it/2MiKGV,4,,Smh they didn't even have horns,saw in theatres,2022-04-22
2022-04-24,The Bad Guys,2022,https://boxd.it/2MueKb,3,,I'm so glad stylized 3D is becoming standard,saw in theatres,2022-04-23
2022-04-25,Father Stu,2022,https://boxd.it/2MKCR3,2.5,,You ever change religious to get with a girl,saw in theatres,2022-04-25
2022-04-26,Fantastic Beasts and Where to Find Them,2016,https://boxd.it/2MVnRz,2.5,,Should've been a documentary like originally planned,,2022-04-26
